side,scouted_opponent,level,name,uses,games,poss_with_points,points,ppp,team_ppp,fgm,fga,fg_pct,fg3m,fg3a,turnovers,fouls_drawn,top_player,top_player_uses,series,top_action,top_location,top_location_uses,situation,personnel_grouping_mode,shot_clock_mode,game_situation_mode,defense_type_mode,example_titles,game_codes,possession_side
UWW,Aurora Spartans,Play call,Panther,11,3,10,13.0,1.3,1.12,4,6,66.7,0,1,0,4,Brock Marino,6,Panther,,,0,Half court,3G-2W,Early clock (0-9 sec used),Leading by 10+,Man-to-Man,PANTHER: M2M D | PANTHER: M2M PRESS | Panther: M2M,EC@WWW WWW@RIP WWW@STC,Offense
UWW,Aurora Spartans,Play call,Ricky,1,1,1,2.0,2.0,1.12,1,1,100.0,0,0,0,0,Brock Marino,1,Motion / no set,Ricky,,0,Half court,3G-2W,Early clock (0-9 sec used),Leading by 10+,Man-to-Man,FLOW-RICKY:M2M DROP,EC@WWW,Offense
UWW,Aurora Spartans,Play call,Rip,1,1,1,0.0,0.0,1.12,0,0,,0,0,1,0,Darius Chestnut,1,Motion / no set,Rip,,0,Half court,4G-1W,Late clock (20+ sec used),,Man-to-Man,TRAN: RIP SCREEN: M2M D,WWW@RIP,Offense
UWW,Aurora Spartans,Play call,SLOB,5,3,5,4.0,0.8,1.12,1,5,20.0,1,2,0,0,Luke Bara,1,SLOB,,,0,SLOB,3G-2W,Early clock (0-9 sec used),Trailing by 10+,Man-to-Man,SLOB: M2M D | Slob: M2M | Slob: M2M: Drop,EC@WWW WWW@RIP WWW@STC,Offense
UWW,Aurora Spartans,Play call,SLOB Ball Screen,1,1,0,0.0,,1.12,0,0,,0,0,1,0,Brock Marino,1,SLOB,Ball Screen,,0,SLOB,,,,Man-to-Man,SLOB- BS- DROP: M2M D,WWW@RIP,Offense
UWW,Aurora Spartans,Play call,Zoom,1,1,1,1.0,1.0,1.12,0,0,,0,0,0,1,Jake Quast,1,Motion / no set,Zoom,,0,Half court,4G-1W,Early clock (0-9 sec used),,Man-to-Man,FLOW (ZOOM) - M2M D,WWW@RIP,Offense
UWW,Aurora Spartans,Series,5 Out,38,3,34,36.0,1.06,1.12,10,23,43.5,5,9,7,7,Isaac Verges,8,5 Out,Down Screen,Wing,2,Half court,3G-2W,Early clock (0-9 sec used),Leading by 10+,Man-to-Man,5 Out Flair: M2M | 5OUT-DS-BS: M2M D- DROP | 5 OUT- PASS- DS- CURL: M2M SOFT HEDGE,EC@WWW WWW@RIP WWW@STC,Offense
UWW,Aurora Spartans,Series,BLOB,23,3,23,21.0,0.91,1.12,8,16,50.0,5,9,6,1,Luke Bara,6,BLOB,Curl,,0,BLOB,3G-2W,Early clock (0-9 sec used),Leading by 10+,Man-to-Man,BLOB-LINE: 2-3 ZONE | Blob-Line- reject: M2M | BLOB- LINE-CURL: M2M D,EC@WWW WWW@RIP WWW@STC,Offense
UWW,Aurora Spartans,Series,Cheetah,6,2,6,6.0,1.0,1.12,3,5,60.0,0,1,1,0,Luke Bara,2,Cheetah,,,0,Half court,3G-2W,Early clock (0-9 sec used),Leading by 10+,Man-to-Man,OVER-CHEETAH: M2M SWITCH | OVER- CHEETAH: M2M D | ATO-CHEETAH: M2M D,EC@WWW WWW@RIP,Offense
UWW,Aurora Spartans,Series,Motion / no set,8,3,8,7.0,0.88,1.12,2,5,40.0,0,2,1,2,Darius Chestnut,2,Motion / no set,Ball Screen,Right Side,1,Half court,3G-2W,Early clock (0-9 sec used),Trailing by 10+,Man-to-Man,Twins: Press: Hedge BS | BIG ON BIG : M2M | FLOW: BS- SWITCH- ICE:M2M PRES,EC@WWW WWW@RIP WWW@STC,Offense
UWW,Aurora Spartans,Series,Panther,11,3,10,13.0,1.3,1.12,4,6,66.7,0,1,0,4,Brock Marino,6,Panther,,,0,Half court,3G-2W,Early clock (0-9 sec used),Leading by 10+,Man-to-Man,PANTHER: M2M D | PANTHER: M2M PRESS | Panther: M2M,EC@WWW WWW@RIP WWW@STC,Offense
UWW,Aurora Spartans,Series,SLOB,6,3,5,4.0,0.8,1.12,1,5,20.0,1,2,1,0,Brock Marino,2,SLOB,Ball Screen,,0,SLOB,3G-2W,Early clock (0-9 sec used),Trailing by 10+,Man-to-Man,SLOB: M2M D | Slob: M2M | Slob: M2M: Drop,EC@WWW WWW@RIP WWW@STC,Offense
UWW,Aurora Spartans,Primary action,Ball Screen,8,3,7,4.0,0.57,1.12,2,7,28.6,0,2,1,0,Darius Chestnut,2,5 Out,,Right Side,1,Half court,3G-2W,Early clock (0-9 sec used),Leading by 10+,Man-to-Man,Twins: Press: Hedge BS | 5 Out- BS : M2M Press | 5 OUT-BS: M2M SWITCH,EC@WWW WWW@RIP WWW@STC,Offense
UWW,Aurora Spartans,Primary action,Big-on-Big,1,1,1,2.0,2.0,1.12,0,0,,0,0,0,1,Richie Warren,1,Motion / no set,,,0,Half court,2G-3W,Early clock (0-9 sec used),,Man-to-Man,BIG ON BIG : M2M,WWW@STC,Offense
UWW,Aurora Spartans,Primary action,Curl,11,3,11,13.0,1.18,1.12,5,8,62.5,3,6,3,0,Luke Bara,3,BLOB,,,0,BLOB,3G-2W,Organized offense (10-19 sec used),Leading by 10+,Man-to-Man,Blob-Line-Curl- M2M | Blob- Line- Curl : M2m | BLOB-LINE- CURL: M2M,EC@WWW WWW@RIP WWW@STC,Offense
UWW,Aurora Spartans,Primary action,DHO,4,2,4,5.0,1.25,1.12,1,2,50.0,1,1,1,1,Luke Bara,1,5 Out,,Right Side,1,Half court,3G-2W,Early clock (0-9 sec used),Leading by 10+,Man-to-Man,5 OUT-DHO : M2M- SOFT HEDGE | 5 OUT- DHO- PASS-FLAIR- RS BS: M2M D SOFT HEDGE | 5 OUT- DHO-PASS 5- DS- M2M D,EC@WWW WWW@RIP,Offense
UWW,Aurora Spartans,Primary action,Down Screen,9,3,8,8.0,1.0,1.12,3,6,50.0,1,3,1,2,Jake Quast,2,5 Out,,Wing,1,Half court,3G-2W,Early clock (0-9 sec used),Leading by 10+,Man-to-Man,5 OUT- DS: M2M PRES | 5 OUT- DS- M2M | 5 OUT- PASS- DS- CURL: M2M SOFT HEDGE,EC@WWW WWW@RIP WWW@STC,Offense
UWW,Aurora Spartans,Primary action,Flare,5,2,5,6.0,1.2,1.12,1,2,50.0,0,1,1,1,Collin Madson,1,5 Out,,,0,Half court,3G-2W,Early clock (0-9 sec used),Leading by 10+,Man-to-Man,5 Out Flair: M2M | 5 Out-flairs- M2M | 5 OUT FLAIR; M2M SWITCH,EC@WWW WWW@STC,Offense
UWW,Aurora Spartans,Primary action,Reject,2,2,2,0.0,0.0,1.12,0,1,0.0,0,1,1,0,Jr Lukenbill,1,BLOB,,,0,BLOB,3G-2W,Early clock (0-9 sec used),,Man-to-Man,Blob-Line- reject: M2M | BLOB-LINE- REJECT-M2M,WWW@RIP WWW@STC,Offense
UWW,Aurora Spartans,Primary action,Ricky,3,3,3,5.0,1.67,1.12,2,2,100.0,1,1,1,0,Luke Bara,1,BLOB,,,0,Half court,3G-2W,Organized offense (10-19 sec used),Leading by 10+,Man-to-Man,BLOB-LINE-RICKY: M2M | 5 OUT BS- RICKY- M2M D SOFT HEDGE | FLOW-RICKY:M2M DROP,EC@WWW WWW@RIP WWW@STC,Offense
UWW,Aurora Spartans,Primary action,Rip,1,1,1,0.0,0.0,1.12,0,0,,0,0,1,0,Darius Chestnut,1,Motion / no set,,,0,Half court,4G-1W,Late clock (20+ sec used),,Man-to-Man,TRAN: RIP SCREEN: M2M D,WWW@RIP,Offense
UWW,Aurora Spartans,Primary action,Zoom,3,2,1,1.0,1.0,1.12,0,0,,0,0,1,2,Jake Quast,1,5 Out,,,0,Half court,4G-1W,Early clock (0-9 sec used),,Man-to-Man,FLOW (ZOOM) - M2M D | 5 OUT-DHO-ZOOM: M2M D | 5 OUT- PASS 5 -ZOOM-: M2M D - DROP,EC@WWW WWW@RIP,Offense
UWW,Aurora Spartans,Situation,ATO,1,1,1,2.0,2.0,1.12,1,1,100.0,0,0,0,0,Brock Marino,1,Cheetah,,,0,ATO,3G-2W,Early clock (0-9 sec used),Leading by 10+,Man-to-Man,ATO-CHEETAH: M2M D,WWW@RIP,Offense
UWW,Aurora Spartans,Situation,BLOB,23,3,23,21.0,0.91,1.12,8,16,50.0,5,9,6,1,Luke Bara,6,BLOB,Curl,,0,BLOB,3G-2W,Early clock (0-9 sec used),Leading by 10+,Man-to-Man,BLOB-LINE: 2-3 ZONE | Blob-Line- reject: M2M | BLOB- LINE-CURL: M2M D,EC@WWW WWW@RIP WWW@STC,Offense
UWW,Aurora Spartans,Situation,Half court,192,3,175,202.0,1.15,1.12,61,117,52.1,22,52,33,33,Collin Madson,29,5 Out,Down Screen,Right Side,2,Half court,3G-2W,Early clock (0-9 sec used),Leading by 10+,Man-to-Man,TRAN | Tran | Flow: M2M Press,EC@WWW WWW@RIP WWW@STC,Offense
UWW,Aurora Spartans,Situation,SLOB,5,3,4,3.0,0.75,1.12,1,4,25.0,1,2,1,0,Brock Marino,2,SLOB,Ball Screen,,0,SLOB,3G-2W,Early clock (0-9 sec used),,Man-to-Man,SLOB: M2M D | Slob: M2M | Slob: M2M: Drop,EC@WWW WWW@RIP WWW@STC,Offense
UWW,Aurora Spartans,Situation,SLOB (ATO),1,1,1,1.0,1.0,1.12,0,1,0.0,0,0,0,0,Collin Madson,1,SLOB,,,0,SLOB (ATO),3G-2W,Organized offense (10-19 sec used),Trailing by 10+,Man-to-Man,ATO SLOB: M2M,WWW@STC,Offense
UWW,Aurora Spartans,Location,Right Side,2,1,2,0.0,0.0,1.12,0,1,0.0,0,0,1,0,Isaac Verges,1,5 Out,DHO,,0,Half court,3G-2W,Early clock (0-9 sec used),,Man-to-Man,5 OUT- DHO- PASS-FLAIR- RS BS: M2M D SOFT HEDGE | TWINS- BS RS: M2M D- SWITCH,WWW@RIP,Offense
UWW,Aurora Spartans,Location,Wing,2,1,2,2.0,1.0,1.12,1,2,50.0,0,1,0,0,Rashad Rogers,1,5 Out,Down Screen,,0,Half court,4G-1W,Early clock (0-9 sec used),Leading by 10+,Man-to-Man,5 OUT- PASS 5-DS-PASS WING-BS: M2M D- ICE | 5 OUT- PASS 5- PASS WING- BS: M2M- ICE,EC@WWW,Offense
UWW,Aurora Spartans,Finish type,Cut,12,3,12,17.0,1.42,1.12,7,9,77.8,0,0,1,1,Richie Warren,4,5 Out,Flare,,0,Half court,3G-2W,Early clock (0-9 sec used),Leading by 10+,Man-to-Man,5 Out Flair: M2M | 5 Out-flairs- M2M | Tran: Flow: M2M: Drop,EC@WWW WWW@RIP WWW@STC,Offense
UWW,Aurora Spartans,Finish type,Hand Off,8,3,8,5.0,0.62,1.12,2,5,40.0,0,1,1,2,Jake Quast,2,5 Out,Down Screen,,0,Half court,3G-2W,Early clock (0-9 sec used),Leading by 10+,Man-to-Man,5 OUT- DS: M2M PRES | 5 OUT: M2M PRESS- SWITCH | FLOW (ZOOM) - M2M D,EC@WWW WWW@RIP WWW@STC,Offense
UWW,Aurora Spartans,Finish type,ISO,17,3,17,28.0,1.65,1.12,8,11,72.7,3,4,1,3,Brock Marino,4,5 Out,Ricky,,0,Half court,3G-2W,Early clock (0-9 sec used),Leading by 10+,Man-to-Man,TRAN | Flow: M2M: Deny | 5 Out- M2M- Press,EC@WWW WWW@RIP WWW@STC,Offense
UWW,Aurora Spartans,Finish type,No Play Type,11,3,11,5.0,0.45,1.12,1,3,33.3,0,1,6,2,Isaac Verges,5,BLOB,Reject,,0,Half court,3G-2W,Early clock (0-9 sec used),Leading by 10+,Man-to-Man,Twins-: M2M | Tran | FLow- M2M Press,EC@WWW WWW@RIP WWW@STC,Offense
UWW,Aurora Spartans,Finish type,Non Possession,18,3,2,3.0,1.5,1.12,0,0,,0,0,9,8,Brock Marino,5,5 Out,Zoom,,0,Half court,4G-1W,Early clock (0-9 sec used),,Man-to-Man,TRAN | Flow: R+J | 5 Out: M2M: Drop+Press,EC@WWW WWW@RIP WWW@STC,Offense
UWW,Aurora Spartans,Finish type,Off Screen,8,3,8,6.0,0.75,1.12,2,6,33.3,2,6,2,0,Collin Madson,4,BLOB,Curl,,0,BLOB,3G-2W,Early clock (0-9 sec used),Leading by 10+,Man-to-Man,Blob: L : M2M | Flow: M2M Press | BLOB- LINE- CURL- M2M,EC@WWW WWW@RIP WWW@STC,Offense
UWW,Aurora Spartans,Finish type,Offensive Rebound,5,2,3,7.0,2.33,1.12,0,1,0.0,0,0,0,1,Brock Marino,2,,,,0,Half court,4G-1W,Early clock (0-9 sec used),Leading by 10+,,Brock Marino | D | TRAN,EC@WWW WWW@RIP,Offense
UWW,Aurora Spartans,Finish type,P&R Ball Handler,48,3,48,53.0,1.1,1.12,19,40,47.5,10,22,6,2,Collin Madson,8,5 Out,Ball Screen,Right Side,2,Half court,3G-2W,Early clock (0-9 sec used),Leading by 10+,Man-to-Man,TRAN | FLOW: M2M D | 5 OUT-PASS-CURL- BS: M2M D- JAM,EC@WWW WWW@RIP WWW@STC,Offense
UWW,Aurora Spartans,Finish type,Post-Up,19,3,19,15.0,0.79,1.12,6,14,42.9,0,4,2,3,Brock Marino,8,Panther,Big-on-Big,,0,Half court,3G-2W,Early clock (0-9 sec used),Leading by 10+,Man-to-Man,TRAN | Flow: 1-2-2 M2M | PANTHER: M2M D,EC@WWW WWW@RIP WWW@STC,Offense
UWW,Aurora Spartans,Finish type,Spot-Up,32,3,32,41.0,1.28,1.12,11,23,47.8,10,16,4,5,Collin Madson,7,5 Out,Curl,,0,Half court,3G-2W,Early clock (0-9 sec used),Leading by 10+,Man-to-Man,Flow: R + J | Flow: M2M Press | FLOW:2-3 ZONE,EC@WWW WWW@RIP WWW@STC,Offense
UWW,Aurora Spartans,Finish type,Transition,44,3,44,49.0,1.11,1.12,15,27,55.6,3,9,8,7,Collin Madson,8,,,,0,Half court,3G-2W,Early clock (0-9 sec used),Leading by 10+,Man-to-Man,TRAN | Tran | TRAN: M2M,EC@WWW WWW@RIP WWW@STC,Offense
UWW,Aurora Spartans,Personnel grouping,"Agape Keyes Jr., Isaiah Robinson, Kelton McEwen, Mauryon Turner, Rashad Rogers",2,1,2,2.0,1.0,1.12,1,1,100.0,0,0,1,0,Mauryon Turner,2,5 Out,,,0,Half court,Small / shooting five (no true big),Early clock (0-9 sec used),Leading by 10+,Man-to-Man,TRAN | 5 OUT : M2M D,WWW@RIP,Offense
UWW,Aurora Spartans,Personnel grouping,"Agape Keyes Jr., Isaiah Robinson, Mikey Wildes, Rashad Rogers, Trent Grunewald",4,1,4,6.0,1.5,1.12,2,4,50.0,2,4,0,0,Isaiah Robinson,2,5 Out,DHO,,0,Half court,4G-1W,Early clock (0-9 sec used),Leading by 10+,Man-to-Man,TRAN | TWINS: M2M D | 5 OUT-DHO: M2M PRES,EC@WWW,Offense
UWW,Aurora Spartans,Personnel grouping,"Agape Keyes Jr., Isaiah Robinson, Rashad Rogers, Trent Grunewald, Tristian Lynch",4,1,4,5.0,1.25,1.12,2,4,50.0,1,3,0,0,Tristian Lynch,2,5 Out,Flare,,0,Half court,3G-2W,Early clock (0-9 sec used),Leading by 10+,Man-to-Man,TRAN | 5 OUT- FLAIR-BS: M2M D ICE | 5 OUT- PASS 5 - DS: M2M D,EC@WWW,Offense
UWW,Aurora Spartans,Personnel grouping,"Austin Ambrose, Collin Madson, Darius Chestnut, Jake Quast, Joey Berezowitz",4,1,4,9.0,2.25,1.12,1,2,50.0,1,2,0,0,Jake Quast,3,SLOB,,,0,Half court,4G-1W,Early clock (0-9 sec used),,Man-to-Man,SLOB: M2M D | TRAN: M2M D | D,WWW@RIP,Offense
UWW,Aurora Spartans,Personnel grouping,"Austin Ambrose, Collin Madson, Darius Chestnut, Joey Berezowitz, Richie Warren",2,1,2,3.0,1.5,1.12,1,1,100.0,1,1,1,0,Collin Madson,1,,,,0,Half court,3G-2W,Early clock (0-9 sec used),,Man-to-Man,SNAP: M2M D- DROP | TRAN: M2M,WWW@RIP,Offense
UWW,Aurora Spartans,Personnel grouping,"Austin Ambrose, Darius Chestnut, JR Lukenbill, Jake Quast, Joey Berezowitz",4,1,4,3.0,0.75,1.12,1,1,100.0,0,0,2,1,Jake Quast,1,BLOB,Reject,,0,Half court,3G-2W,Early clock (0-9 sec used),,Man-to-Man,BLOB-LINE- REJECT-M2M | 5 OUT BS- RICKY- M2M D SOFT HEDGE | PANTHER- M2M D,WWW@RIP,Offense
UWW,Aurora Spartans,Personnel grouping,"Austin Ambrose, Darius Chestnut, Jake Quast, Joey Berezowitz, Richie Warren",4,1,4,4.0,1.0,1.12,1,2,50.0,1,1,1,1,Jake Quast,2,Cheetah,Down Screen,,0,Half court,3G-2W,Early clock (0-9 sec used),Leading by 10+,Man-to-Man,OVER- CHEETAH: M2M D | 5 OUT- PASS- DS- CURL: M2M SOFT HEDGE | TRAN: M2M,WWW@RIP,Offense
UWW,Aurora Spartans,Personnel grouping,"Austin Ambrose, Isaiah Robinson, Kelton McEwen, Trent Grunewald, Tristian Lynch",4,1,4,2.0,0.5,1.12,1,3,33.3,0,1,1,0,Isaiah Robinson,2,,,,0,Half court,3G-2W,Early clock (0-9 sec used),Leading by 10+,Man-to-Man,TRAN | TWINS: M2M D,EC@WWW,Offense
UWW,Aurora Spartans,Personnel grouping,"Austin Ambrose, JR Lukenbill, Jake Quast, Joey Berezowitz, Richie Warren",4,1,4,4.0,1.0,1.12,0,2,0.0,0,0,0,2,Jake Quast,3,5 Out,Flare,,0,Half court,2G-3W,Early clock (0-9 sec used),,Man-to-Man,5 OUT-FLAIR-BS: M2M HEDGE | 5 OUT-BS: M2M SWITCH | BIG ON BIG : M2M,WWW@STC,Offense
UWW,Aurora Spartans,Personnel grouping,"Brock Marino, Collin Madson, Darius Chestnut, Isaac Verges, JR Lukenbill",9,1,9,9.0,1.0,1.12,3,7,42.9,0,3,0,2,Darius Chestnut,3,Cheetah,Ball Screen,,0,Half court,3G-2W,Early clock (0-9 sec used),Leading by 10+,Man-to-Man,TRAN | SNAP : M2M D | TRAN: UWW M2M D,WWW@RIP,Offense
UWW,Aurora Spartans,Personnel grouping,"Brock Marino, Collin Madson, Darius Chestnut, Isaac Verges, Jake Quast",1,1,1,0.0,0.0,1.12,0,0,,0,0,1,0,Darius Chestnut,1,Motion / no set,Rip,,0,Half court,4G-1W,Late clock (20+ sec used),,Man-to-Man,TRAN: RIP SCREEN: M2M D,WWW@RIP,Offense
UWW,Aurora Spartans,Personnel grouping,"Brock Marino, Collin Madson, Darius Chestnut, Isaac Verges, Richie Warren",2,1,2,2.0,1.0,1.12,1,2,50.0,0,1,0,0,Collin Madson,2,BLOB,Curl,,0,BLOB,3G-2W,Early clock (0-9 sec used),,Man-to-Man,BLOB-LINE- CURL- M2M | SNAP- M2M D,WWW@RIP,Offense
UWW,Aurora Spartans,Personnel grouping,"Brock Marino, Collin Madson, Darius Chestnut, JR Lukenbill, Joey Berezowitz",2,1,2,0.0,0.0,1.12,0,2,0.0,0,2,0,0,Jr Lukenbill,1,BLOB,Reject,,0,BLOB,3G-2W,Early clock (0-9 sec used),,Man-to-Man,Blob-Line- reject: M2M | Twins: Press: Hedge BS,WWW@STC,Offense
UWW,Aurora Spartans,Personnel grouping,"Brock Marino, Collin Madson, Darius Chestnut, Jake Quast, Joey Berezowitz",2,1,2,1.0,0.5,1.12,0,1,0.0,0,1,0,1,Jake Quast,1,Motion / no set,Zoom,,0,Half court,4G-1W,Early clock (0-9 sec used),,Man-to-Man,FLOW (ZOOM) - M2M D | TRAN,WWW@RIP,Offense
UWW,Aurora Spartans,Personnel grouping,"Brock Marino, Collin Madson, Isaac Verges, JR Lukenbill, Joey Berezowitz",3,1,3,4.0,1.33,1.12,0,1,0.0,0,1,0,2,Isaac Verges,2,5 Out,,,0,Half court,3G-2W,Organized offense (10-19 sec used),Leading by 10+,Man-to-Man,FLOW: M2M PRESS | 5 OUT- M2M D | FLOW: M2M 1-2-1-1,WWW@RIP,Offense
UWW,Aurora Spartans,Personnel grouping,"Brock Marino, Collin Madson, Isaac Verges, JR Lukenbill, Luke Bara",47,3,47,46.0,0.98,1.12,17,32,53.1,6,13,11,2,Isaac Verges,13,5 Out,Curl,,0,Half court,3G-2W,Early clock (0-9 sec used),Leading by 10+,Man-to-Man,TRAN | Tran | PANTHER: M2M D,EC@WWW WWW@RIP WWW@STC,Offense
UWW,Aurora Spartans,Personnel grouping,"Brock Marino, Collin Madson, Isaac Verges, Jake Quast, Luke Bara",7,2,7,2.0,0.29,1.12,0,6,0.0,0,2,1,0,Brock Marino,3,BLOB,Ball Screen,,0,Half court,4G-1W,Early clock (0-9 sec used),Leading by 10+,Man-to-Man,Tran | Flow: M2M Press | 5 Out- BS : M2M Press,EC@WWW WWW@STC,Offense
UWW,Aurora Spartans,Personnel grouping,"Brock Marino, Collin Madson, Isaac Verges, Luke Bara, Richie Warren",11,1,11,13.0,1.18,1.12,5,8,62.5,1,2,1,2,Collin Madson,3,BLOB,Curl,Right Side,2,Half court,3G-2W,Early clock (0-9 sec used),,Man-to-Man,TRAN | P4: M2M D | TRAN: M2M,WWW@RIP,Offense
UWW,Aurora Spartans,Personnel grouping,"Brock Marino, Collin Madson, Jake Quast, Joey Berezowitz, Richie Warren",1,1,1,1.0,1.0,1.12,0,0,,0,0,0,1,Brock Marino,1,,,,0,Half court,3G-2W,Early clock (0-9 sec used),,,TRAN,WWW@STC,Offense
